"workerid","contextWithSuper","strength","trial_num","target","degree","leftResponse","adjective","super_category","form","names","context","rightResponse","contextWithSuperPronoun","response","condition","sub_category"
0," is searching for things to watch online with their friend and finds a movie.",3,1,"short","time","No","short","things you watch online","negative","William"," finds a movie to watch online with their friend.","Yes",NA,0,"context","movie"
0," is sitting at a cafe watching people go by and sees a professional basketball player.",3,2," short","height","No","short","people","negative","Julia"," sees a professional basketball player.","Yes",NA,0,"context","basketball player"
0," is browsing around a kitchen appliance store. They finds a toaster and looks at the price.",2,3,"cheap","price","No","cheap","kitchen appliances","negative","Maya"," finds a toaster and looks at the price.","Yes",NA,1,"context","toaster"
0," is in the produce section of the supermarket and picks up a watermelon.",3,4,"light","weight","No","light","produce","negative","Jennifer"," picks up a watermelon.","Yes",NA,0,"context","watermelon"
0," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Winter.",1,5,"warm","temperature","No","warm","days of the year","positive","Mika"," lives in Maryland and steps outside in Winter.","Yes",NA,0,"context","day in Winter"
0," is in the produce section of the supermarket and picks up a grape.",1,6,"light","weight","No","light","produce","negative","Stephen"," picks up a grape.","Yes",NA,1,"context","grape"
0," is browsing around a kitchen appliance store. They finds a bottle opener and looks at the price.",1,7,"expensive","price","No","expensive","kitchen appliances","positive","Laura"," finds a bottle opener and looks at the price.","Yes",NA,0,"context","bottle opener"
0," is sitting at a cafe watching people go by and sees a professional soccer player.",2,8," tall","height","No","tall","people","positive","Michelle"," sees a professional soccer player.","Yes",NA,0,"context","soccer player"
0," is in the produce section of the supermarket and picks up an apple.",2,9,"light","weight","No","light","produce","negative","Melinda"," picks up an apple.","Yes",NA,1,"context","apple"
0," is browsing around a kitchen appliance store. They finds a dishwasher and looks at the price.",3,10,"cheap","price","No","cheap","kitchen appliances","negative","Greg"," finds a dishwasher and looks at the price.","Yes",NA,0,"context","dishwasher"
0," is sitting at a cafe watching people go by and sees a professional gymnast.",1,11," short","height","No","short","people","negative","Kim"," sees a professional gymnast.","Yes",NA,1,"context","gymnast"
0," is searching for things to watch online with their friend and finds a music video.",2,12,"long","time","No","long","things you watch online","positive","Natalia"," finds a music video to watch online with their friend.","Yes",NA,0,"context","music video"
0," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Summer.",3,13,"warm","temperature","No","warm","days of the year","positive","Claire"," lives in Maryland and steps outside in Summer.","Yes",NA,1,"context","day in Summer"
0," is searching for things to watch online with their friend and finds a video of a cute animal.",1,14,"long","time","No","long","things you watch online","positive","David"," finds a video of a cute animal to watch online with their friend.","Yes",NA,0,"context","video of the cute animal"
0," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Fall.",2,15,"cold","temperature","No","cold","days of the year","negative","Josh"," lives in Maryland and steps outside in Fall.","Yes",NA,1,"context","day in Fall"
1," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Summer.",3,1,"warm","temperature","No","warm","days of the year","positive","Maya"," lives in Maryland and steps outside in Summer.","Yes",NA,1,"context","day in Summer"
1," is in the produce section of the supermarket and picks up a watermelon.",3,2,"heavy","weight","No","heavy","produce","positive","Kim"," picks up a watermelon.","Yes",NA,1,"context","watermelon"
